Numero de documentos del corpus: 7943
Numero de palabras del corpus: 778850
Word: <UNK> Frec: 0 LogProb: -13.638559
Word: aa Frec: 43 LogProb: -9.854370
Word: aaa Frec: 8 LogProb: -11.441336
Word: aaaenerfax Frec: 1 LogProb: -12.945413
Word: aabdulwalialhashmi Frec: 0 LogProb: -13.638559
Word: aadedeji Frec: 1 LogProb: -12.945413
Word: aadesh Frec: 0 LogProb: -13.638559
Word: aah Frec: 1 LogProb: -12.945413
Word: aaisihagaddafi Frec: 0 LogProb: -13.638559
Word: aal Frec: 0 LogProb: -13.638559
Word: aaldous Frec: 3 LogProb: -12.252265
Word: aaledn Frec: 0 LogProb: -13.638559
Word: aalia Frec: 0 LogProb: -13.638559
Word: aalim Frec: 0 LogProb: -13.638559
Word: aaliyah Frec: 0 LogProb: -13.638559
Word: aall Frec: 0 LogProb: -13.638559
Word: aan Frec: 0 LogProb: -13.638559
Word: aanbieden Frec: 0 LogProb: -13.638559
Word: aandelen Frec: 0 LogProb: -13.638559
Word: aanei Frec: 0 LogProb: -13.638559
Word: aanewfiomimoeu Frec: 0 LogProb: -13.638559
Word: aangela Frec: 0 LogProb: -13.638559
Word: aanhouden Frec: 0 LogProb: -13.638559
Word: aapo Frec: 0 LogProb: -13.638559
Word: aaprece Frec: 1 LogProb: -12.945413
Word: aaqw Frec: 0 LogProb: -13.638559
Word: aarabia Frec: 0 LogProb: -13.638559
Word: aarabica Frec: 0 LogProb: -13.638559
Word: aaron Frec: 11 LogProb: -11.153653
Word: aaronsw Frec: 1 LogProb: -12.945413
Word: aas Frec: 0 LogProb: -13.638559
Word: aat Frec: 0 LogProb: -13.638559
Word: aavid Frec: 1 LogProb: -12.945413
Word: aawesome Frec: 0 LogProb: -13.638559
Word: aaxine Frec: 1 LogProb: -12.945413
Word: aayan Frec: 0 LogProb: -13.638559
Word: aaye Frec: 3 LogProb: -12.252265
Word: ab Frec: 55 LogProb: -9.613208
Word: aba Frec: 0 LogProb: -13.638559
Word: ababa Frec: 0 LogProb: -13.638559
Word: abacha Frec: 0 LogProb: -13.638559
Word: abacus Frec: 24 LogProb: -10.419683
Word: abadrmohamedsaleh Frec: 0 LogProb: -13.638559
Word: abagail Frec: 0 LogProb: -13.638559
Word: abahy Frec: 1 LogProb: -12.945413
Word: abaixo Frec: 0 LogProb: -13.638559
Word: aband Frec: 0 LogProb: -13.638559
Word: abandon Frec: 3 LogProb: -12.252265
Word: abandonar Frec: 2 LogProb: -12.539948
Word: abandone Frec: 4 LogProb: -12.029121
Word: abandoned Frec: 6 LogProb: -11.692650
Word: abandonment Frec: 2 LogProb: -12.539948
Word: abargain Frec: 0 LogProb: -13.638559
Word: abarr Frec: 1 LogProb: -12.945413
Word: abasements Frec: 0 LogProb: -13.638559
Word: abaul Frec: 0 LogProb: -13.638559
Word: abaulkarim Frec: 0 LogProb: -13.638559
Word: abb Frec: 1 LogProb: -12.945413
Word: abbas Frec: 0 LogProb: -13.638559
Word: abbate Frec: 1 LogProb: -12.945413
Word: abbestellen Frec: 0 LogProb: -13.638559
Word: abbey Frec: 0 LogProb: -13.638559
Word: abbiamo Frec: 0 LogProb: -13.638559
Word: abbott Frec: 4 LogProb: -12.029121
Word: abbreviated Frec: 3 LogProb: -12.252265
Word: abbreviation Frec: 2 LogProb: -12.539948
Word: abbuntroubled Frec: 0 LogProb: -13.638559
Word: abc Frec: 0 LogProb: -13.638559
Word: abcnews Frec: 0 LogProb: -13.638559
Word: abcsearch Frec: 0 LogProb: -13.638559
Word: abd Frec: 0 LogProb: -13.638559
Word: abdalla Frec: 0 LogProb: -13.638559
Word: abdallah Frec: 0 LogProb: -13.638559
Word: abdallat Frec: 0 LogProb: -13.638559
Word: abdel Frec: 0 LogProb: -13.638559
Word: abdelkader Frec: 0 LogProb: -13.638559
Word: abdellatif Frec: 0 LogProb: -13.638559
Word: abdelnour Frec: 1 LogProb: -12.945413
Word: abdle Frec: 0 LogProb: -13.638559
Word: abdo Frec: 0 LogProb: -13.638559
Word: abdominal Frec: 1 LogProb: -12.945413
Word: abducted Frec: 1 LogProb: -12.945413
Word: abductions Frec: 1 LogProb: -12.945413
Word: abductor Frec: 0 LogProb: -13.638559
Word: abdul Frec: 1 LogProb: -12.945413
Word: abdulaziz Frec: 0 LogProb: -13.638559
Word: abdulla Frec: 0 LogProb: -13.638559
Word: abdullah Frec: 4 LogProb: -12.029121
Word: abdulspam Frec: 0 LogProb: -13.638559
Word: abdulwahid Frec: 0 LogProb: -13.638559
