Numero de documentos del corpus: 15904
Numero de palabras del corpus: 890095
Word: <UNK> Frec: 0 LogProb: -13.764656
Word: aa Frec: 136 LogProb: -8.844675
Word: aaa Frec: 0 LogProb: -13.764656
Word: aabdulwalialhashmi Frec: 2 LogProb: -12.666044
Word: aadedeji Frec: 0 LogProb: -13.764656
Word: aadesh Frec: 1 LogProb: -13.071509
Word: aagrawal Frec: 0 LogProb: -13.764656
Word: aaisihagaddafi Frec: 6 LogProb: -11.818746
Word: aal Frec: 1 LogProb: -13.071509
Word: aaldous Frec: 0 LogProb: -13.764656
Word: aaledn Frec: 2 LogProb: -12.666044
Word: aalia Frec: 9 LogProb: -11.462071
Word: aalim Frec: 1 LogProb: -13.071509
Word: aaliyah Frec: 5 LogProb: -11.972897
Word: aall Frec: 2 LogProb: -12.666044
Word: aan Frec: 18 LogProb: -10.820217
Word: aanbieden Frec: 7 LogProb: -11.685215
Word: aancia Frec: 4 LogProb: -12.155218
Word: aandelen Frec: 2 LogProb: -12.666044
Word: aanewfiomimoeu Frec: 1 LogProb: -13.071509
Word: aangela Frec: 6 LogProb: -11.818746
Word: aapo Frec: 1 LogProb: -13.071509
Word: aaprece Frec: 0 LogProb: -13.764656
Word: aaqw Frec: 1 LogProb: -13.071509
Word: aarabia Frec: 2 LogProb: -12.666044
Word: aarabica Frec: 2 LogProb: -12.666044
Word: aaron Frec: 0 LogProb: -13.764656
Word: aas Frec: 3 LogProb: -12.378362
Word: aasia Frec: 2 LogProb: -12.666044
Word: aat Frec: 2 LogProb: -12.666044
Word: aavid Frec: 0 LogProb: -13.764656
Word: aawesome Frec: 1 LogProb: -13.071509
Word: aaxine Frec: 0 LogProb: -13.764656
Word: aayan Frec: 2 LogProb: -12.666044
Word: aaye Frec: 0 LogProb: -13.764656
Word: aazis Frec: 1 LogProb: -13.071509
Word: ab Frec: 200 LogProb: -8.461351
Word: aba Frec: 3 LogProb: -12.378362
Word: ababa Frec: 1 LogProb: -13.071509
Word: abacha Frec: 12 LogProb: -11.199707
Word: abacus Frec: 0 LogProb: -13.764656
Word: abadrmohamedsaleh Frec: 8 LogProb: -11.567431
Word: abagail Frec: 2 LogProb: -12.666044
Word: abahy Frec: 0 LogProb: -13.764656
Word: abaixo Frec: 34 LogProb: -10.209308
Word: abajo Frec: 0 LogProb: -13.764656
Word: aband Frec: 2 LogProb: -12.666044
Word: abandon Frec: 14 LogProb: -11.056606
Word: abandonar Frec: 0 LogProb: -13.764656
Word: abandone Frec: 0 LogProb: -13.764656
Word: abandoned Frec: 104 LogProb: -9.110696
Word: abandonment Frec: 0 LogProb: -13.764656
Word: abandono Frec: 0 LogProb: -13.764656
Word: abargain Frec: 1 LogProb: -13.071509
Word: abarr Frec: 0 LogProb: -13.764656
Word: abasements Frec: 1 LogProb: -13.071509
Word: abattoir Frec: 1 LogProb: -13.071509
Word: abaul Frec: 7 LogProb: -11.685215
Word: abaulkarim Frec: 5 LogProb: -11.972897
Word: abb Frec: 6 LogProb: -11.818746
Word: abbas Frec: 4 LogProb: -12.155218
Word: abbate Frec: 1 LogProb: -13.071509
Word: abbestellen Frec: 1 LogProb: -13.071509
Word: abbey Frec: 1 LogProb: -13.071509
Word: abbiamo Frec: 1 LogProb: -13.071509
Word: abbott Frec: 1 LogProb: -13.071509
Word: abbreviated Frec: 0 LogProb: -13.764656
Word: abbreviation Frec: 0 LogProb: -13.764656
Word: abbuntroubled Frec: 1 LogProb: -13.071509
Word: abc Frec: 1 LogProb: -13.071509
Word: abcnews Frec: 2 LogProb: -12.666044
Word: abcsearch Frec: 4 LogProb: -12.155218
Word: abd Frec: 8 LogProb: -11.567431
Word: abdalla Frec: 1 LogProb: -13.071509
Word: abdallah Frec: 1 LogProb: -13.071509
Word: abdallat Frec: 5 LogProb: -11.972897
Word: abdel Frec: 3 LogProb: -12.378362
Word: abdellatif Frec: 2 LogProb: -12.666044
Word: abdelnour Frec: 0 LogProb: -13.764656
Word: abdo Frec: 4 LogProb: -12.155218
Word: abdominal Frec: 4 LogProb: -12.155218
Word: abdoul Frec: 3 LogProb: -12.378362
Word: abdoulaye Frec: 2 LogProb: -12.666044
Word: abducted Frec: 0 LogProb: -13.764656
Word: abductions Frec: 0 LogProb: -13.764656
Word: abductor Frec: 1 LogProb: -13.071509
Word: abdul Frec: 22 LogProb: -10.629162
Word: abdulaziz Frec: 6 LogProb: -11.818746
Word: abdulkarim Frec: 2 LogProb: -12.666044
Word: abdulla Frec: 6 LogProb: -11.818746
Word: abdullah Frec: 11 LogProb: -11.279750
Word: abdulspam Frec: 0 LogProb: -13.764656
Word: abdulwali Frec: 4 LogProb: -12.155218
Word: abdulzahra Frec: 2 LogProb: -12.666044
Word: abdulzahrasuhil Frec: 1 LogProb: -13.071509
Word: abdwabbo Frec: 4 LogProb: -12.155218
Word: abe Frec: 2 LogProb: -12.666044
Word: abeis Frec: 3 LogProb: -12.378362
Word: abel Frec: 8 LogProb: -11.567431
Word: abello Frec: 0 LogProb: -13.764656
Word: abels Frec: 5 LogProb: -11.972897
Word: aben Frec: 3 LogProb: -12.378362
Word: aber Frec: 24 LogProb: -10.545780
Word: aberdeenshire Frec: 0 LogProb: -13.764656
Word: abernathy Frec: 0 LogProb: -13.764656
Word: aberration Frec: 0 LogProb: -13.764656
Word: abert Frec: 1 LogProb: -13.071509
